Neighborhood,Sector #,Population (2010),Total # Units (2000),Total # Units (2010),% Occupied Units (2010),% Vacant Units (2010),# Occupied Units (2010),% Owner Occupied Units (2010),% Renter Occupied Units (2010),Est. Avg. Yrs. of Residence (2010),% Living in Household (2010),% Living in Group Quarters (2010),% Units Built 00-09,% Units Built 90-99,% Units Built 80-89,% Units Built 60-79,% Units Built 40-59,% Units Built before 1939,Median Home Value (2008),Med. Val.,Median Home Value,% Change Real Value 2000-2010,Median Sale Price,# Sales Counted,Foreclosures,% of all Housing Units Foreclosed
Allegheny Center,3,933,675,1052,0.515,0.485,535,0.101,0.899,0,1,0,0.046,0.021,0.074,0.673,0.173,0.013,86500,109535,136300,0.244,N/A,0,0,0
Allegheny West,3,462,390,355,0.749,0.251,203,0.182,0.818,15,1,0,0,0.036,0,0.079,0.31,0.574,159700,202228,123600,-0.389,309940,7,1,0.003
Allentown,6,2500,1505,1291,0.8,0.2,953,0.592,0.408,5,0.921,0.079,0,0.015,0.082,0.071,0.203,0.629,34300,43434,42200,-0.028,8500,70,11,0.009
Arlington,7,1869,880,886,0.866,0.134,754,0.654,0.346,11,1,0,0,0.011,0.016,0.005,0.245,0.723,38800,49132,44200,-0.1,15397,34,13,0.015
Arlington Heights,7,244,557,148,0.912,0.088,139,0.187,0.813,2,1,0,0,0,0.071,0.353,0.484,0.092,45000,56984,64400,0.13,N/A,0,0,0
Banksville,5,4144,2203,2118,0.954,0.046,2093,0.499,0.501,5,0.852,0.148,0.013,0.098,0.046,0.416,0.382,0.046,87200,110421,110900,0.004,101431,40,5,0.002
Bedford Dwellings,15,1202,1049,746,0.873,0.127,695,0.076,0.924,2,1,0,0.037,0.081,0.075,0.119,0.301,0.386,17200,21780,81100,2.724,200,1,1,0.001
Beechview,5,7974,4048,3939,0.893,0.107,3518,0.587,0.413,6,1,0,0.005,0.005,0.036,0.15,0.377,0.427,56150,71103,72400,0.018,36068,128,40,0.01
Beltzhoover,6,1925,1298,1085,0.735,0.265,849,0.735,0.265,17,1,0,0.028,0,0.008,0.092,0.198,0.674,34000,43054,36000,-0.164,2744,39,11,0.01
Bloomfield,12,8442,5432,5136,0.89,0.11,4924,0.367,0.633,3,0.996,0.004,0.011,0.006,0.014,0.071,0.168,0.73,60560,76687,92840,0.211,99250,118,12,0.002
Bluff,15,6600,721,388,0.727,0.273,293,0.372,0.628,0,0.072,0.928,0,0.014,0.054,0.14,0.147,0.645,40600,51412,21200,-0.588,50000,40,1,0.003
Bon Air,6,808,404,387,0.941,0.059,423,0.849,0.151,15,1,0,0,0.028,0.046,0.028,0.552,0.346,63300,80157,69500,-0.133,65000,7,4,0.01
Brighton Heights,2,7247,3664,3615,0.902,0.098,3645,0.657,0.343,5,1,0,0.003,0.037,0.091,0.05,0.203,0.616,68733,87037,81433,-0.064,67000,163,35,0.01
Brookline,5,13214,6349,6364,0.935,0.065,6183,0.745,0.255,9,1,0,0.006,0.005,0.035,0.122,0.459,0.374,67175,85064,82150,-0.034,75000,251,62,0.01
California-Kirkbride,3,761,450,393,0.794,0.206,268,0.44,0.56,5,0.951,0.049,0.056,0.083,0,0.065,0.195,0.602,32000,40522,113200,1.794,9600,38,2,0.005
Carrick,5,10113,5114,5041,0.882,0.118,4772,0.684,0.316,8,0.99,0.01,0.005,0.007,0.024,0.126,0.268,0.569,53233,67409,66900,-0.008,40250,150,49,0.01
Central Business District,16,3629,1623,2342,0.814,0.186,1627,0.24,0.76,0,0.727,0.273,0.042,0.018,0.039,0.395,0.148,0.358,59400,75218,125800,0.672,240000,99,6,0.003
Central Lawrenceville,13,4482,2904,2670,0.859,0.141,2388,0.492,0.508,6,0.955,0.045,0.005,0.014,0.02,0.055,0.142,0.764,41950,53121,66850,0.258,67500,107,11,0.004
Central Northside,3,2923,1992,1971,0.805,0.195,1522,0.438,0.562,4,0.97,0.03,0,0.015,0.015,0.089,0.151,0.73,63550,80473,124300,0.545,59247,117,14,0.007
Central Oakland,14,6086,2555,2531,0.942,0.058,1970,0.138,0.862,0,0.933,0.067,0.003,0.021,0.083,0.262,0.176,0.453,62100,78637,144350,0.836,104940,22,1,0
Chartiers City,4,477,238,236,0.903,0.097,193,0.902,0.098,32,1,0,0,0,0,0.269,0.345,0.387,63200,80030,76700,-0.042,70900,5,4,0.017
Chateau,3,11,29,4,1,0,28,0,1,0,1,0,0,0,0,1,0,0,N/A,N/A,N/A,N/A,250000,1,0,0
Crafton Heights,4,3814,1819,1836,0.885,0.115,1634,0.628,0.372,7,1,0,0,0.013,0.05,0.234,0.296,0.407,64450,81613,76650,-0.061,40000,60,18,0.01
Crawford-Roberts,15,2256,1540,1270,0.909,0.091,1230,0.245,0.755,3,1,0,0.085,0.29,0.073,0.224,0.078,0.25,70800,89654,94600,0.055,11500,28,2,0.002
Duquesne Heights,6,2425,1417,1393,0.887,0.113,1287,0.559,0.441,5,1,0,0.008,0.005,0.159,0.153,0.278,0.398,66200,83829,100500,0.199,90610,50,8,0.006
East Allegheny,3,2136,1735,1577,0.794,0.206,1355,0.415,0.585,4,1,0,0.008,0.014,0.027,0.061,0.177,0.713,36700,46473,77100,0.659,51688,78,4,0.003
East Carnegie,4,570,193,251,0.892,0.108,114,0.719,0.281,30,1,0,0,0,0,0,0.302,0.698,54400,68887,63500,-0.078,48250,16,2,0.008
East Hills,11,3169,1890,1522,0.866,0.134,1205,0.509,0.491,9,1,0,0.053,0.089,0.006,0.395,0.302,0.155,50900,64455,40700,-0.369,11358,30,9,0.006
East Liberty,12,5869,4062,3519,0.868,0.132,3114,0.215,0.785,3,0.942,0.058,0.052,0.06,0.06,0.262,0.134,0.432,51400,65088,64650,-0.007,79250,78,10,0.003
Elliott,4,2381,1415,1270,0.809,0.191,987,0.614,0.386,10,1,0,0.007,0.056,0.036,0.091,0.152,0.659,46100,58376,51300,-0.121,7031,59,30,0.024
Esplen,4,301,231,166,0.789,0.211,137,0.628,0.372,7,1,0,0,0,0.04,0.033,0.091,0.836,31000,39255,51400,0.309,7750,4,0,0
Fairywood,4,1002,644,540,0.861,0.139,153,0.464,0.536,3,1,0,0,0.074,0.033,0.326,0.322,0.244,47000,59516,72800,0.223,319980,8,1,0.002
Fineview,3,1285,856,760,0.805,0.195,672,0.551,0.449,5,1,0,0,0.057,0.029,0.157,0.331,0.426,39400,49892,58900,0.181,16000,23,5,0.007
Friendship,12,1785,1180,1163,0.921,0.079,1012,0.139,0.861,0,1,0,0.036,0.003,0.023,0.055,0.254,0.628,115600,146384,167300,0.143,197950,18,5,0.004
Garfield,12,3675,2581,1971,0.769,0.231,1743,0.467,0.533,5,1,0,0.061,0.035,0.048,0.04,0.246,0.57,34033,43096,60300,0.399,7839,93,15,0.008
Glen Hazel,9,716,287,249,0.948,0.052,266,0.083,0.917,5,0.697,0.303,0,0.049,0.161,0.318,0.252,0.22,N/A,N/A,N/A,N/A,50000,4,1,0.004
Greenfield,9,7294,3873,3805,0.914,0.086,3728,0.664,0.336,6,1,0,0.023,0.012,0.019,0.04,0.279,0.627,65800,83323,90900,0.091,118250,160,18,0.005
Hays,8,362,228,203,0.818,0.182,214,0.794,0.206,8,1,0,0,0.033,0,0,0.082,0.885,38500,48753,50800,0.042,10100,7,1,0.005
Hazelwood,9,4317,2746,2361,0.798,0.202,1919,0.506,0.494,7,1,0,0.022,0.012,0.076,0.166,0.231,0.493,38700,49006,65550,0.338,5500,117,21,0.009
Highland Park,12,6395,3396,3272,0.917,0.083,3259,0.536,0.464,4,0.987,0.013,0,0.01,0.008,0.116,0.218,0.649,99900,126503,167400,0.323,159000,83,12,0.004
Homewood North,11,3280,2171,1807,0.716,0.284,1515,0.407,0.593,6,1,0,0.01,0,0.025,0.098,0.233,0.634,37900,47993,35450,-0.261,6991,51,13,0.007
Homewood South,11,2344,2047,1507,0.716,0.284,1087,0.456,0.544,7,1,0,0.007,0.025,0.03,0.101,0.166,0.671,33800,42801,48400,0.131,7000,107,10,0.007
Homewood West,11,818,583,532,0.778,0.222,444,0.286,0.714,4,1,0,0.202,0,0,0.129,0.147,0.521,38400,48626,34500,-0.291,6029,66,1,0.002
Knoxville,6,3747,1923,1857,0.786,0.214,1453,0.658,0.342,8,1,0,0.025,0,0,0.053,0.185,0.737,36000,45587,39900,-0.125,10634,50,19,0.01
Larimer,12,1728,1428,892,0.742,0.258,644,0.531,0.469,12,0.922,0.078,0.13,0.051,0,0.116,0.097,0.606,40250,50969,34850,-0.316,4755,120,10,0.011
